,January,February,March,April,May,June,July,August,September,October,November,December
10,VALLEDUPAR_PREDIO,CHIRIGUANÁ_PREDIO,CHIMICHAGUA_PREDIO,RÍO DE ORO_PREDIO,PAILITAS_PREDIO,LA PAZ_PREDIO,BECERRIL_PREDIO,CHIMICHAGUA_PREDIO,EL COPEY_PREDIO,LA GLORIA_PREDIO,BOSCONIA_PREDIO,CHIMICHAGUA_PREDIO
11,BECERRIL_PREDIO,TAMALAMEQUE_PREDIO,EL PASO_PREDIO,TAMALAMEQUE_PREDIO,CURUMANÍ_PREDIO,GAMARRA_PREDIO,SAN ALBERTO_PREDIO,PELAYA_PREDIO,AGUSTÍN CODAZZI_PREDIO,SAN ALBERTO_PREDIO,AGUSTÍN CODAZZI_PREDIO,LA PAZ_PREDIO
12,SAN MARTÍN_PREDIO,EL COPEY_PREDIO,LA GLORIA_PREDIO,BECERRIL_PREDIO,AGUACHICA_PREDIO,SAN DIEGO_PREDIO,CHIRIGUANÁ_PREDIO,BOSCONIA_PREDIO,ASTREA_PREDIO,AGUACHICA_PREDIO,GAMARRA_PREDIO,GAMARRA_PREDIO
13,SAN ALBERTO_PREDIO,LA GLORIA_PREDIO,SAN ALBERTO_PREDIO,LA PAZ_PREDIO,EL COPEY_PREDIO,EL COPEY_PREDIO,LA JAGUA DE IBIRICO_PREDIO,ASTREA_PREDIO,LA JAGUA DE IBIRICO_PREDIO,BOSCONIA_PREDIO,AGUACHICA_PREDIO,AGUSTÍN CODAZZI_PREDIO
14,GAMARRA_PREDIO,ASTREA_PREDIO,GAMARRA_PREDIO,EL PASO_PREDIO,LA GLORIA_PREDIO,AGUACHICA_PREDIO,CHIMICHAGUA_PREDIO,SAN MARTÍN_PREDIO,BECERRIL_PREDIO,SAN DIEGO_PREDIO,SAN MARTÍN_PREDIO,LA GLORIA_PREDIO
15,EL COPEY_PREDIO,BOSCONIA_PREDIO,SAN MARTÍN_PREDIO,SAN ALBERTO_PREDIO,EL PASO_PREDIO,BOSCONIA_CONCENTRACION GANADERA,SAN DIEGO_PREDIO,GAMARRA_PREDIO,SAN MARTÍN_PREDIO,BECERRIL_PREDIO,TAMALAMEQUE_PREDIO,EL PASO_PREDIO
16,CHIRIGUANÁ_PREDIO,RÍO DE ORO_PREDIO,BOSCONIA_PREDIO,CURUMANÍ_PREDIO,LA PAZ_PREDIO,BOSCONIA_PREDIO,RÍO DE ORO_PREDIO,RÍO DE ORO_PREDIO,AGUACHICA_PREDIO,AGUSTÍN CODAZZI_PREDIO,RÍO DE ORO_PREDIO,RÍO DE ORO_PREDIO
17,LA PAZ_PREDIO,SAN ALBERTO_PREDIO,EL COPEY_PREDIO,BOSCONIA_PREDIO,TAMALAMEQUE_PREDIO,CHIRIGUANÁ_PREDIO,BOSCONIA_PREDIO,CHIRIGUANÁ_PREDIO,SAN ALBERTO_PREDIO,ASTREA_PREDIO,SAN ALBERTO_PREDIO,BECERRIL_PREDIO
18,ASTREA_PREDIO,EL PASO_PREDIO,CHIRIGUANÁ_PREDIO,LA JAGUA DE IBIRICO_PREDIO,ASTREA_PREDIO,TAMALAMEQUE_PREDIO,ASTREA_PREDIO,AGUACHICA_PREDIO,CHIRIGUANÁ_PREDIO,GAMARRA_PREDIO,LA GLORIA_PREDIO,CHIRIGUANÁ_PREDIO
19,TAMALAMEQUE_PREDIO,LA JAGUA DE IBIRICO_PREDIO,ASTREA_PREDIO,ASTREA_PREDIO,GAMARRA_PREDIO,CHIMICHAGUA_PREDIO,GAMARRA_PREDIO,LA JAGUA DE IBIRICO_PREDIO,PELAYA_PREDIO,BOSCONIA_CONCENTRACION GANADERA,BOSCONIA_CONCENTRACION GANADERA,MANAURE BALCÓN DEL CESAR_PREDIO
20,RÍO DE ORO_PREDIO,BOSCONIA_CONCENTRACION GANADERA,BOSCONIA_CONCENTRACION GANADERA,PELAYA_PREDIO,LA JAGUA DE IBIRICO_PREDIO,RÍO DE ORO_PREDIO,EL COPEY_PREDIO,BECERRIL_PREDIO,LA PAZ_PREDIO,RÍO DE ORO_PREDIO,ASTREA_PREDIO,SAN ALBERTO_PREDIO
21,BOSCONIA_CONCENTRACION GANADERA,PELAYA_PREDIO,PUEBLO BELLO_PREDIO,GAMARRA_PREDIO,BOSCONIA_PREDIO,ASTREA_PREDIO,BOSCONIA_CONCENTRACION GANADERA,LA GLORIA_PREDIO,RÍO DE ORO_PREDIO,EL COPEY_PREDIO,MANAURE BALCÓN DEL CESAR_PREDIO,LA JAGUA DE IBIRICO_PREDIO
22,LA JAGUA DE IBIRICO_PREDIO,LA PAZ_PREDIO,LA JAGUA DE IBIRICO_PREDIO,BOSCONIA_CONCENTRACION GANADERA,BOSCONIA_CONCENTRACION GANADERA,LA JAGUA DE IBIRICO_PREDIO,LA PAZ_PREDIO,BOSCONIA_CONCENTRACION GANADERA,CHIRIGUANÁ_CONCENTRACION GANADERA,LA JAGUA DE IBIRICO_PREDIO,EL COPEY_PREDIO,BOSCONIA_CONCENTRACION GANADERA
23,PUEBLO BELLO_PREDIO,PUEBLO BELLO_PREDIO,TAMALAMEQUE_PREDIO,MANAURE BALCÓN DEL CESAR_PREDIO,PUEBLO BELLO_PREDIO,PUEBLO BELLO_PREDIO,MANAURE BALCÓN DEL CESAR_PREDIO,EL COPEY_PREDIO,BOSCONIA_CONCENTRACION GANADERA,PUEBLO BELLO_PREDIO,LA JAGUA DE IBIRICO_PREDIO,PAILITAS_PREDIO
24,AGUACHICA_PLANTA DE BENEFICIO,MANAURE BALCÓN DEL CESAR_PREDIO,MANAURE BALCÓN DEL CESAR_PREDIO,AGUACHICA_PLANTA DE BENEFICIO,AGUACHICA_PLANTA DE BENEFICIO,MANAURE BALCÓN DEL CESAR_PREDIO,GONZÁLEZ_PREDIO,MANAURE BALCÓN DEL CESAR_PREDIO,MANAURE BALCÓN DEL CESAR_PREDIO,MANAURE BALCÓN DEL CESAR_PREDIO,PUEBLO BELLO_PREDIO,PUEBLO BELLO_PREDIO
25,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO,GONZÁLEZ_PREDIO,AGUACHICA_PLANTA DE BENEFICIO,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO,GONZÁLEZ_PREDIO,PAILITAS_CONCENTRACION GANADERA,PUEBLO BELLO_PREDIO,PUEBLO BELLO_PREDIO,AGUACHICA_PLANTA DE BENEFICIO,GONZÁLEZ_PREDIO,GONZÁLEZ_PREDIO
26,ASTREA_PLANTA DE BENEFICIO,AGUACHICA_PLANTA DE BENEFICIO,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO,ASTREA_PLANTA DE BENEFICIO,ASTREA_PLANTA DE BENEFICIO,AGUACHICA_PLANTA DE BENEFICIO,PUEBLO BELLO_PREDIO,GONZÁLEZ_PREDIO,AGUACHICA_PLANTA DE BENEFICIO,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO,AGUACHICA_PLANTA DE BENEFICIO,AGUACHICA_PLANTA DE BENEFICIO
27,CHIRIGUANÁ_CONCENTRACION GANADERA,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO,ASTREA_PLANTA DE BENEFICIO,CHIRIGUANÁ_CONCENTRACION GANADERA,CHIRIGUANÁ_CONCENTRACION GANADERA,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO,AGUACHICA_PLANTA DE BENEFICIO,AGUACHICA_PLANTA DE BENEFICIO,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO,ASTREA_PLANTA DE BENEFICIO,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO
28,CHIRIGUANÁ_PLANTA DE BENEFICIO,ASTREA_PLANTA DE BENEFICIO,CHIRIGUANÁ_CONCENTRACION GANADERA,CHIRIGUANÁ_PLANTA DE BENEFICIO,CHIRIGUANÁ_PLANTA DE BENEFICIO,ASTREA_PLANTA DE BENEFICIO,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO,AGUSTÍN CODAZZI_PLANTA DE BENEFICIO,ASTREA_PLANTA DE BENEFICIO,CHIRIGUANÁ_CONCENTRACION GANADERA,ASTREA_PLANTA DE BENEFICIO,ASTREA_PLANTA DE BENEFICIO
29,EL PASO_PLANTA DE BENEFICIO,CHIRIGUANÁ_CONCENTRACION GANADERA,CHIRIGUANÁ_PLANTA DE BENEFICIO,EL PASO_PLANTA DE BENEFICIO,EL PASO_PLANTA DE BENEFICIO,CHIRIGUANÁ_CONCENTRACION GANADERA,ASTREA_PLANTA DE BENEFICIO,ASTREA_PLANTA DE BENEFICIO,CHIRIGUANÁ_PLANTA DE BENEFICIO,CHIRIGUANÁ_PLANTA DE BENEFICIO,CHIRIGUANÁ_CONCENTRACION GANADERA,CHIRIGUANÁ_CONCENTRACION GANADERA
30,GONZÁLEZ_PREDIO,CHIRIGUANÁ_PLANTA DE BENEFICIO,EL PASO_PLANTA DE BENEFICIO,GONZÁLEZ_PREDIO,GONZÁLEZ_PREDIO,CHIRIGUANÁ_PLANTA DE BENEFICIO,CHIRIGUANÁ_CONCENTRACION GANADERA,CHIRIGUANÁ_CONCENTRACION GANADERA,EL PASO_PLANTA DE BENEFICIO,EL PASO_PLANTA DE BENEFICIO,CHIRIGUANÁ_PLANTA DE BENEFICIO,CHIRIGUANÁ_PLANTA DE BENEFICIO
31,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO,EL PASO_PLANTA DE BENEFICIO,GONZÁLEZ_PREDIO,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO,EL PASO_PLANTA DE BENEFICIO,CHIRIGUANÁ_PLANTA DE BENEFICIO,CHIRIGUANÁ_PLANTA DE BENEFICIO,GONZÁLEZ_PREDIO,GONZÁLEZ_PREDIO,EL PASO_PLANTA DE BENEFICIO,EL PASO_PLANTA DE BENEFICIO
32,LA PAZ_PLANTA DE BENEFICIO,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO,LA PAZ_PLANTA DE BENEFICIO,LA PAZ_PLANTA DE BENEFICIO,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO,EL PASO_PLANTA DE BENEFICIO,EL PASO_PLANTA DE BENEFICIO,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO
33,MANAURE BALCÓN DEL CESAR_PREDIO,LA PAZ_PLANTA DE BENEFICIO,LA PAZ_PLANTA DE BENEFICIO,PAILITAS_CONCENTRACION GANADERA,MANAURE BALCÓN DEL CESAR_PREDIO,LA PAZ_PLANTA DE BENEFICIO,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO,LA JAGUA DE IBIRICO_PLANTA DE BENEFICIO,LA PAZ_PLANTA DE BENEFICIO,LA PAZ_PLANTA DE BENEFICIO,LA PAZ_PLANTA DE BENEFICIO,LA PAZ_PLANTA DE BENEFICIO
34,PAILITAS_CONCENTRACION GANADERA,PAILITAS_CONCENTRACION GANADERA,PAILITAS_CONCENTRACION GANADERA,PAILITAS_PLANTA DE BENEFICIO,PAILITAS_CONCENTRACION GANADERA,PAILITAS_CONCENTRACION GANADERA,LA PAZ_PLANTA DE BENEFICIO,LA PAZ_PLANTA DE BENEFICIO,PAILITAS_CONCENTRACION GANADERA,PAILITAS_CONCENTRACION GANADERA,PAILITAS_CONCENTRACION GANADERA,PAILITAS_CONCENTRACION GANADERA
35,PAILITAS_PLANTA DE BENEFICIO,PAILITAS_PLANTA DE BENEFICIO,PAILITAS_PLANTA DE BENEFICIO,PUEBLO BELLO_PREDIO,PAILITAS_PLANTA DE BENEFICIO,PAILITAS_PLANTA DE BENEFICIO,PAILITAS_PLANTA DE BENEFICIO,PAILITAS_CONCENTRACION GANADERA,PAILITAS_PLANTA DE BENEFICIO,PAILITAS_PLANTA DE BENEFICIO,PAILITAS_PLANTA DE BENEFICIO,PAILITAS_PLANTA DE BENEFICIO
36,RÍO DE ORO_PLANTA DE BENEFICIO,RÍO DE ORO_PLANTA DE BENEFICIO,RÍO DE ORO_PLANTA DE BENEFICIO,RÍO DE ORO_PLANTA DE BENEFICIO,RÍO DE ORO_PLANTA DE BENEFICIO,RÍO DE ORO_PLANTA DE BENEFICIO,RÍO DE ORO_PLANTA DE BENEFICIO,PAILITAS_PLANTA DE BENEFICIO,RÍO DE ORO_PLANTA DE BENEFICIO,RÍO DE ORO_PLANTA DE BENEFICIO,RÍO DE ORO_PLANTA DE BENEFICIO,RÍO DE ORO_PLANTA DE BENEFICIO
37,SAN ALBERTO_PLANTA DE BENEFICIO,SAN ALBERTO_PLANTA DE BENEFICIO,SAN ALBERTO_PLANTA DE BENEFICIO,SAN ALBERTO_PLANTA DE BENEFICIO,SAN ALBERTO_PLANTA DE BENEFICIO,SAN ALBERTO_PLANTA DE BENEFICIO,SAN ALBERTO_PLANTA DE BENEFICIO,RÍO DE ORO_PLANTA DE BENEFICIO,SAN ALBERTO_PLANTA DE BENEFICIO,SAN ALBERTO_PLANTA DE BENEFICIO,SAN ALBERTO_PLANTA DE BENEFICIO,SAN ALBERTO_PLANTA DE BENEFICIO
38,VALLEDUPAR_CONCENTRACION GANADERA,VALLEDUPAR_CONCENTRACION GANADERA,VALLEDUPAR_CONCENTRACION GANADERA,VALLEDUPAR_CONCENTRACION GANADERA,VALLEDUPAR_CONCENTRACION GANADERA,VALLEDUPAR_CONCENTRACION GANADERA,VALLEDUPAR_CONCENTRACION GANADERA,SAN ALBERTO_PLANTA DE BENEFICIO,VALLEDUPAR_CONCENTRACION GANADERA,VALLEDUPAR_CONCENTRACION GANADERA,VALLEDUPAR_CONCENTRACION GANADERA,VALLEDUPAR_CONCENTRACION GANADERA
39,VALLEDUPAR_PLANTA DE BENEFICIO,VALLEDUPAR_PLANTA DE BENEFICIO,VALLEDUPAR_PLANTA DE BENEFICIO,VALLEDUPAR_PLANTA DE BENEFICIO,VALLEDUPAR_PLANTA DE BENEFICIO,VALLEDUPAR_PLANTA DE BENEFICIO,VALLEDUPAR_PLANTA DE BENEFICIO,VALLEDUPAR_PLANTA DE BENEFICIO,VALLEDUPAR_PLANTA DE BENEFICIO,VALLEDUPAR_PLANTA DE BENEFICIO,VALLEDUPAR_PLANTA DE BENEFICIO,VALLEDUPAR_PLANTA DE BENEFICIO
